50000	274209	0.23613450000993907
100000	550754	0.5777042499976233
150000	823628	0.8832443330902606
200000	1099822	1.2462474160129204
250000	1374280	1.5304373749531806
300000	1651921	2.071180541999638
350000	1924923	2.156418333062902
400000	2201731	2.502102916012518
450000	2474167	2.9347820420516655
500000	2748648	3.347567791934125
550000	3025121	4.326970750000328
600000	3300795	4.79362162493635
650000	3577740	6.41567454196047
700000	3846216	6.906006208038889
750000	4124127	6.625325124943629
800000	4398603	6.840719625004567
850000	4677188	7.749579875031486
900000	4951655	8.703398999990895
950000	5226940	10.890454625012353
